node1,node2
Jewon 2,Yeongdong
Jewon 2,Yeongdong Stream 2
Yeongdong,Yeongdong Stream 2
Gamak,Jinan Stream
Jinan Stream,Jeongja Stream
Gamak,Jeongja Stream
Guryang Stream,Gamak
Guryang Stream,Jinan Stream
Guryang Stream,Jeongja Stream
Yongpo,Yongdam
Chupungryeong Stream,Cho River 1
Seok Stream,Geumsang Stream
Seok Stream,Chupungryeong Stream
Cho River 2,Geumsang Stream
Cho River 2,Chupungryeong Stream
Cho River 2,Cho River 1
Gomakwon Stream 1,Sikji Stream
Gomakwon Stream 1,Gomakwon Stream 2
Gomakwon Stream 2,Sikji Stream
Gomakwon Stream 2,Gusan Stream
Gomakwon Stream 2,Gomakwon Stream 4
Gomakwon Stream 4,Gomakwon Stream 3
Boseong River 5,Boseong River 6
Boseong River 6,Boseong River 7
Gwanchon,Unam
Unam,Churyeong Stream
Imsil,Chi Stream
Chi Stream,Donggye
Gyesan,Gurye
Gurye,Deokeun
Gurye,Akyang
Deokeun,Akyang
Akyang,Hadong
Hadong,Jinwol
Jinwol,Hoengcheon River 3
Hoengcheon River 3,Hoengcheon River 2
Hoengcheon River 2,Hoengcheon River 1
Godal,Gokseong
Sueo Stream 1,Sueo Stream 2
Dae River,Jeokseong
Dae River,Oktaek Stream
Jeokseong,Oktaek Stream
Jeokseong,Suhong Stream
Oktaek Stream,Suhong Stream
Namwon,Dae River
Damyang,Sandong
Seokgok Stream,Sandong
Uchi,Sandong
Yongsan Stream,Sandong
Jinwon Stream,Sandong
Sandong,Gwangju 1
Gwangju 1,Gwangju Stream 2
Sandong,Gwangju Stream 2
Gwangju 1,Gwangju 2
Gwangju 2,Gwangju 3
Gwangju 1,Pungyeongjeong Stream 2
Gwangju Stream 2,Pungyeongjeong Stream 2
Pungyeongjeong Stream 1,Pungyeongjeong Stream 2
Gwangju Stream 1,Gwangju 1
Gwangju Stream 2,Gwangju 2
Jangseong Stream 1,Jangseong Stream 2
Jangseong Stream 2,Pyeongdong Stream
Pyeongdong Stream,Gwangsan
Jangseong Stream 2,Yeongsan Stream
Jangseong Stream 2,Naju
Naju,Manbong Stream
Manbong Stream,Yeongsanpo 1
Yeongsanpo 1,Naju
Munpyeong Stream,Yeongsanpo 1
Munpyeong Stream,Juksan
Munpyeong Stream,Yeongsanpo 2
Hampyeong Stream 1,Sampo Stream 1
Muan Stream,Hampyeong Stream 3
Hampyeong Stream 3,Hampyeong
Hampyeong Stream 3,Hampyeong Stream 2
Hampyeong Stream 3,Muan 1
Muan 1,Sampo Stream 2
Sampo Stream 1,Sampo Stream 2
Yeongam Stream 1,Yeongam Stream 2
Osu Stream 1,Yul Stream
Osu Stream 1,Wolpyeong Stream
Yul Stream,Wolpyeong Stream
Wolpyeong Stream,Hugok Stream
Hugok Stream,Osu Stream 2
Osu Stream 2,Wolpyeong Stream
Yo Stream 2,Yo Stream 3
Yo Stream 3,Yo Stream 1
Isa Stream 1,Isa Stream 3
Isa Stream 3,Suncheondong Stream 3
Suncheondong Stream 3,Suncheondong Stream 2
Suncheondong Stream 2,Isa Stream 2
Suncheondong Stream 2,Suncheondong Stream 1
Juam Dam,Dongbok Stream 3
Juam Dam,Boseong River 4
Dongbok Stream 3,Dongbok Stream 2
Dongbok Stream 2,Nam Stream
Nam Stream,Dongbok Stream 1
Boseong River 4,Boseong River 3
Boseong River 3,Boseong River 2
Boseong River 2,Boseong River 1
Jujin Stream 1,Jujin Stream 2
Jiseok Stream 1,Hwasun Stream
Jiseok Stream 1,Jiseok Stream 3
Hwasun Stream,Jiseok Stream 3
Jiseok Stream 2,Jiseok Stream 3
Daechon Stream,Jiseok Stream 3
Daechon Stream,Jiseok Stream 4
Jiseok Stream 3,Jiseok Stream 4
Tamjin River 1,Tamjin River 2
Tamjin River 2,Tamjin River 3
Omcheon Stream 1,Omcheon Stream 2
Omcheon Stream 1,Tamjin River 3
Omcheon Stream 2,Tamjin River 3
Yuchi Stream 1,Tamjin River 3
Yuchi Stream 2,Tamjin River 3
Tamjin River 3,Tamjin River 4
Tamjin River 4,Geumgang Stream 2
Geumgang Stream 2,Geumgang Stream 1
Geumgang Stream 2,Tamjin River 5
Hwangryong River 1,Hwangryong River 2
Hwangryong River 2,Hwangryong River 3
Hwangryong River 2,Pyeongrim Stream
Hwangryong River 3,Pyeongrim Stream
Pyeongrim Stream,Hwangryong River 4
Hwangryong River 4,Hwangryong River 5
Incheonsongdo,Sihwabanwol
Sihwabanwol,Sihwajoryeok
Sihwajoryeok,Sihwabanwol
Sihwabanwol,Geumganghagu
Sihwajoryeok,Geumganghagu
Geumganghagu,Yeongsanmokpo
Geumganghagu,Yeongsanyeongam
Yeongsanmokpo,Yeongsanyeongam
Gwangyangmangdeok,Gwangyangjeokryang
Masanbongam,Masansamgwi
Masanbongam,Masanyangdeok
Masansamgwi,Masanyangdeok
Nakdongmyeongji,Nakdongeulsuk
Busansuyeong,Nakdongeulsuk
Masansamgwi,Nakdongeulsuk
